Start date, 2017-07-16
End date, 2017-09-23
Total requests, 12666
Total unique devices, 560
Total sessions, 2711
Average response time, 0.67ms

Language, DeviceCount, Percentage
spa, 5, 0.9%
chs, 97, 17.3%
eng, 386, 68.9%
cht, 72, 12.9%

Date, Unique devices, Sessions, Requests
AF1D8336-33BA-4DCF-8F88-C8612E5E7E80, eng, 2017-09-11 19:43:12, 12
036A727B-AC18-43AB-A89F-CBA2DA933AA2, eng, 2017-09-11 19:47:07, 12
7B977108-566C-448D-AD0C-C4B88F8B8BEB, eng, 2017-09-11 19:47:08, 12
99E12F4B-77DF-48FD-968A-00D1988AC669, eng, 2017-09-11 19:47:20, 12
ae25e9bb-4f85-4be9-9e5d-173c87e8cbad, eng, 2017-09-11 21:04:26, 12
351b3971-0949-479a-b439-ea7f7134fb71, chs, 2017-09-14 06:19:29, 10
E1594703-E02A-4D51-9AE2-44EB172EC01D, eng, 2017-09-22 22:45:52, 1
ce98234e-07b9-4dab-a0a9-240ce020ca6e, cht, 2017-09-23 08:51:19, 1
74193419-3fa2-4187-9c81-f5ad7f5176e5, chs, 2017-09-16 16:27:25, 7
6E6F9AD7-24FF-452D-A08C-5D02E4F41021, chs, 2017-09-23 09:37:48, 1
ED0E169E-FA6C-47F4-8E8A-C17BF5E65143, eng, 2017-09-17 20:42:07, 6
e342c912-7609-4cce-b65f-26984ec69266, eng, 2017-09-23 11:01:37, 0
34ed552e-5d18-4099-90f4-394c93ae6dbb, chs, 2017-09-15 18:13:04, 8
c453d872-07a6-40a4-9b99-2e4ff03d1eec, eng, 2017-09-15 16:17:43, 8
C460256B-3B21-4BC7-97C8-58E04F432301, cht, 2017-09-15 18:25:05, 8
AB8EA222-193B-410E-9ED2-264615189B4B, eng, 2017-09-18 18:51:52, 5
6eee136f-b429-41fb-95b9-1fb7d9dcbb7d, eng, 2017-09-18 14:53:24, 5
